Date,Period,Total Demand,TCQ,Net Demand
2024-02-19,17,6699.232,355.818725701596,6343.413274298404
2024-02-19,18,6767.279,355.818725701596,6411.460274298404
2024-02-19,19,6835.110000000001,355.818725701596,6479.2912742984045
2024-02-19,20,6873.545999999999,355.818725701596,6517.727274298403
2024-02-19,21,6885.043,355.818725701596,6529.2242742984035
2024-02-19,22,6848.881,355.818725701596,6493.062274298404
2024-02-19,23,6822.191,355.818725701596,6466.372274298404
2024-02-19,24,6733.839,355.818725701596,6378.020274298404
2024-02-19,25,6655.896000000001,355.818725701596,6300.0772742984045
2024-02-19,26,6660.05,355.818725701596,6304.231274298404
2024-02-19,27,6676.551,355.818725701596,6320.732274298404
2024-02-19,28,6746.79,355.818725701596,6390.971274298404
2024-02-19,29,6827.936,355.818725701596,6472.117274298404
2024-02-19,30,6933.148,355.818725701596,6577.329274298404
2024-02-19,31,6950.245,355.818725701596,6594.426274298404
2024-02-19,32,7083.071,355.818725701596,6727.252274298404
2024-02-19,33,7140.76,355.818725701596,6784.941274298404
2024-02-19,34,7173.424,355.818725701596,6817.605274298404
2024-02-19,35,7135.369000000001,355.818725701596,6779.5502742984045
2024-02-19,36,7106.525000000001,355.818725701596,6750.706274298404
2024-02-19,37,7047.586,355.818725701596,6691.767274298404
2024-02-19,38,7084.972,355.818725701596,6729.153274298404
2024-02-19,39,7106.427,355.818725701596,6750.608274298404
2024-02-19,40,7100.202,355.818725701596,6744.383274298404
2024-02-19,41,7048.003000000001,355.818725701596,6692.1842742984045
2024-02-19,42,6993.459,355.818725701596,6637.640274298404
2024-02-19,43,6893.61,355.818725701596,6537.791274298404
2024-02-19,44,6760.148999999999,355.818725701596,6404.330274298403
2024-02-19,45,6613.217000000001,355.818725701596,6257.398274298404
2024-02-19,46,6486.234,355.818725701596,6130.415274298404
2024-02-19,47,6344.436,355.818725701596,5988.617274298404
2024-02-19,48,6217.824,355.818725701596,5862.0052742984035
2024-02-20,1,6067.258000000001,355.818725701596,5711.439274298405
2024-02-20,2,5941.979,355.818725701596,5586.160274298404
2024-02-20,3,5833.465999999999,355.818725701596,5477.647274298403
2024-02-20,4,5766.902999999999,355.818725701596,5411.084274298403
2024-02-20,5,5704.8730000000005,355.818725701596,5349.054274298404
2024-02-20,6,5652.074,355.818725701596,5296.2552742984035
2024-02-20,7,5614.991,355.818725701596,5259.172274298404
2024-02-20,8,5586.812,355.818725701596,5230.993274298404
2024-02-20,9,5597.086,355.818725701596,5241.267274298404
2024-02-20,10,5637.285,355.818725701596,5281.466274298404
2024-02-20,11,5755.386,355.818725701596,5399.567274298404
2024-02-20,12,5923.099,355.818725701596,5567.280274298404
2024-02-20,13,6147.144,355.818725701596,5791.325274298404
2024-02-20,14,6301.066000000001,355.818725701596,5945.247274298405
2024-02-20,15,6479.768,355.818725701596,6123.949274298404
2024-02-20,16,6664.277,355.818725701596,6308.458274298404
2024-02-20,17,6797.957,355.818725701596,6442.138274298404
2024-02-20,18,6849.835,355.818725701596,6494.016274298404
2024-02-20,19,6891.862,355.818725701596,6536.043274298404
2024-02-20,20,6907.8859999999995,355.818725701596,6552.067274298403
2024-02-20,21,6922.947,355.818725701596,6567.128274298404
2024-02-20,22,6873.121,355.818725701596,6517.302274298404
2024-02-20,23,6826.486,355.818725701596,6470.667274298404
2024-02-20,24,6743.745,355.818725701596,6387.926274298404
2024-02-20,25,6732.869,355.818725701596,6377.050274298404
