"Date","Period","Total_Demand","TCQ","Net_Demand"
"2024-01-23",8,"5431.419","340.95819339320695","5090.460751919293"
"2024-01-23",9,"5441.4287","339.086970714893","5102.341740222607"
"2024-01-23",10,"5496.774","338.984652006826","5157.789273774424"
"2024-01-23",11,"5610.832","343.948495438935","5266.883535811065"
"2024-01-23",12,"5795.2163","348.271397850624","5446.9449107431265"
"2024-01-23",13,"6004.3047","356.758274754606","5647.546412745394"
"2024-01-23",14,"6185.695","359.126852039741","5826.567972179009"
"2024-01-23",15,"6356.7153","374.88405909027995","5981.83127294097"
"2024-01-23",16,"6554.535","392.734546877371","6161.800609372629"
"2024-01-23",17,"6697.962","417.28631150359297","6280.6756025589075"
"2024-01-23",18,"6748.6104","437.327106388335","6311.283245174165"
"2024-01-23",19,"6766.14","456.201663313922","6309.938473404828"
"2024-01-23",20,"6808.62","470.689211124953","6337.930906062547"
"2024-01-23",21,"6862.9487","485.371126678831","6377.577603789919"
"2024-01-23",22,"6825.122","489.648162083455","6335.473908229045"
"2024-01-23",23,"6741.45","493.96485858828095","6247.485336724219"
"2024-01-23",24,"6642.394","493.609263275271","6148.784779693479"
"2024-01-23",25,"6600.688","488.69654769513","6111.99144058612"
"2024-01-23",26,"6601.585","483.05068454945905","6118.534276388041"
"2024-01-23",27,"6646.669","482.3044951289","6164.3644501836"
"2024-01-23",28,"6745.285","484.75094551943704","6260.534210730563"
"2024-01-23",29,"6830.5083","484.309570082638","6346.198730698612"
"2024-01-23",30,"6943.763","482.29139026974","6461.47179332401"
"2024-01-23",31,"7029.1187","483.168722788107","6545.949929555643"
"2024-01-23",32,"7121.933","483.78940798054504","6638.143697488205"
"2024-01-23",33,"7191.146","487.452027103724","6703.693968990026"
"2024-01-23",34,"7219.4893","488.782768847833","6730.706488964667"
"2024-01-23",35,"7191.554","492.90093933719197","6698.653259881558"
"2024-01-23",36,"7137.552","493.19910638517604","6644.3526514273235"
"2024-01-23",37,"7048.56","494.397507952995","6554.162550640755"
"2024-01-23",38,"6993.5435","501.872727532206","6491.670729499044"
"2024-01-23",39,"6942.626","513.5954335787981","6429.030542983702"
"2024-01-23",40,"6911.2417","521.702647591887","6389.5390516268635"
"2024-01-23",41,"6877.363","523.105970094427","6354.256822874323"
"2024-01-23",42,"6841.48","520.200345600202","6321.279634868548"
"2024-01-23",43,"6751.64","518.001028911877","6233.639107806873"
"2024-01-23",44,"6598.018","506.982047501831","6091.036018904419"
"2024-01-23",45,"6418.411","488.53733625714597","5929.873796555354"
