Year,Month,Day,Period,Sum of Demand_Sum,Sum of DST,Sum of TCQ
2024,January,7,19,5897,5440.798336686078,456.201663313922
2024,January,7,20,5980,5509.310788875047,470.689211124953
2024,January,7,21,6068,5582.628873321169,485.371126678831
2024,January,7,22,6075,5585.351837916545,489.648162083455
2024,January,7,23,6068,5574.035141411719,493.96485858828095
2024,January,7,24,6040,5546.390736724729,493.609263275271
2024,January,7,25,6026,5537.30345230487,488.69654769513
2024,January,7,26,6051,5567.949315450541,483.05068454945905
2024,January,7,27,6107,5624.6955048711,482.3044951289
2024,January,7,28,6075,5590.249054480563,484.75094551943704
2024,January,7,29,6035,5550.690429917362,484.309570082638
2024,January,7,30,6016,5533.70860973026,482.29139026974
2024,January,7,31,6030,5546.831277211893,483.168722788107
2024,January,7,32,6052,5568.210592019455,483.78940798054504
2024,January,7,33,6065,5577.547972896276,487.452027103724
2024,January,7,34,6047,5558.217231152167,488.782768847833
2024,January,7,35,6073,5580.099060662808,492.90093933719197
2024,January,7,36,6118,5624.8008936148235,493.19910638517604
2024,January,7,37,6183,5688.602492047005,494.397507952995
2024,January,7,38,6237,5735.127272467794,501.872727532206
2024,January,7,39,6262,5748.404566421202,513.5954335787981
2024,January,7,40,6246,5724.2973524081135,521.702647591887
2024,January,7,41,6259,5735.894029905573,523.105970094427
2024,January,7,42,6246,5725.799654399798,520.200345600202
2024,January,7,43,6205,5686.998971088123,518.001028911877
2024,January,7,44,6101,5594.017952498169,506.982047501831
2024,January,7,45,5992,5503.462663742854,488.53733625714597
2024,January,7,46,5862,5394.729928535589,467.270071464411
2024,January,7,47,5773,5329.101562791861,443.898437208139
2024,January,7,48,5695,5285.769333628615,409.230666371385
2024,January,8,1,5614,5258.181274298404,355.818725701596
2024,January,8,2,5468,5110.857581704561,357.142418295439
2024,January,8,3,5336,4994.309796839693,341.690203160307
2024,January,8,4,5267,4931.155237967382,335.844762032618
2024,January,8,5,5226,4896.569689292195,329.430310707805
2024,January,8,6,5177,4828.961544907855,348.038455092145
2024,January,8,7,5157,4836.648630143574,320.351369856426
2024,January,8,8,5157,4799.735749646722,357.264250353278
2024,January,8,9,5172,4821.285175737618,350.714824262382
2024,January,8,10,5198,4872.145634375484,325.854365624516
2024,January,8,11,5311,4968.026885646838,342.97311435316203
2024,January,8,12,5474,5139.276149032494,334.723850967506
2024,January,8,13,5674,5263.853796042121,410.146203957879
2024,January,8,14,5826,5441.673907343926,384.32609265607397
2024,January,8,15,6037,5620.645146896704,416.354853103296
2024,January,8,16,6256,5834.168299827876,421.83170017212404
2024,January,8,17,6460,6028.509508557834,431.490491442166
2024,January,8,18,6565,6123.935108097545,441.06489190245503
2024,January,8,19,6633,6179.286287375763,453.713712624237
2024,January,8,20,6678,6216.414364055613,461.585635944387
2024,January,8,21,6742,6269.82211911677,472.17788088323
2024,January,8,22,6741,6264.184266385818,476.81573361418197
2024,January,8,23,6679,6198.950289519558,480.049710480442
2024,January,8,24,6540,6059.8069335938035,480.193066406197
2024,January,8,25,6382,5905.930890075352,476.069109924648
2024,January,8,26,6389,5915.812254476804,473.187745523196
2024,January,8,27,6497,6021.366286671005,475.633713328995
2024,January,8,28,6671,6192.671886138728,478.328113861272
2024,January,8,29,6678,6192.8433802697855,485.15661973021497
2024,January,8,30,6752,6267.376221941337,484.623778058663
2024,January,8,31,6873,6387.408184508997,485.591815491003
2024,January,8,32,6979,6490.689215178386,488.310784821614
2024,January,8,33,7006,6511.115702641472,494.884297358528
2024,January,8,34,7028,6528.203094427896,499.796905572104
2024,January,8,35,7001,6495.444087764469,505.555912235531
2024,January,8,36,6891,6382.096277697427,508.903722302573
2024,January,8,37,6837,6310.885763387839,526.114236612161
2024,January,8,38,6836,6318.287914963504,517.712085036496
2024,January,8,39,6846,6313.323829765261,532.676170234739
2024,January,8,40,6852,6328.149341233744,523.8506587662561
2024,January,8,41,6830,6315.219562940588,514.7804370594121
2024,January,8,42,6771,6231.224049551335,539.775950448665
2024,January,8,43,6660,6127.019149887938,532.980850112062
2024,January,8,44,6503,5980.329111122534,522.6708888774659
2024,January,8,45,6308,5815.891026234855,492.108973765145
2024,January,8,46,6160,5671.349746396651,488.650253603349
2024,January,8,47,6005,5569.694101371981,435.30589862801895
2024,January,8,48,5821,5426.727448949366,394.272551050634
2024,January,9,1,5614,5258.181274298404,355.818725701596
2024,January,9,2,5513,5155.857581704561,357.142418295439
2024,January,9,3,5489,5147.309796839693,341.690203160307
2024,January,9,4,5439,5103.155237967382,335.844762032618
2024,January,9,5,5385,5055.569689292195,329.430310707805
2024,January,9,6,5357,5008.961544907855,348.038455092145
2024,January,9,7,5313,4992.648630143574,320.351369856426
2024,January,9,8,5313,4955.735749646722,357.264250353278
2024,January,9,9,5324,4973.285175737618,350.714824262382
2024,January,9,10,5390,5064.145634375484,325.854365624516
2024,January,9,11,5494,5151.026885646838,342.97311435316203
2024,January,9,12,5682,5347.276149032494,334.723850967506
2024,January,9,13,5859,5448.853796042121,410.146203957879
2024,January,9,14,6043,5658.673907343926,384.32609265607397
2024,January,9,15,6226,5809.645146896704,416.354853103296
2024,January,9,16,6449,6027.168299827876,421.83170017212404
2024,January,9,17,6610,6178.509508557834,431.490491442166
2024,January,9,18,6717,6275.935108097545,441.06489190245503
2024,January,9,19,6813,6359.286287375763,453.713712624237
2024,January,9,20,6867,6405.414364055613,461.585635944387
2024,January,9,21,6880,6407.82211911677,472.17788088323
2024,January,9,22,6840,6363.184266385818,476.81573361418197
2024,January,9,23,6718,6237.950289519558,480.049710480442
2024,January,9,24,6644,6163.8069335938035,480.193066406197
2024,January,9,25,6514,6037.930890075352,476.069109924648
2024,January,9,26,6491,6017.812254476804,473.187745523196
2024,January,9,27,6573,6097.366286671005,475.633713328995
2024,January,9,28,6586,6107.671886138728,478.328113861272
2024,January,9,29,6541,6055.8433802697855,485.15661973021497
2024,January,9,30,6532,6047.376221941337,484.623778058663
2024,January,9,31,6709,6223.408184508997,485.591815491003
2024,January,9,32,6767,6278.689215178386,488.310784821614
2024,January,9,33,6776,6281.115702641472,494.884297358528
2024,January,9,34,6837,6337.203094427896,499.796905572104
2024,January,9,35,6870,6364.444087764469,505.555912235531
2024,January,9,36,6825,6316.096277697427,508.903722302573
2024,January,9,37,6805,6278.885763387839,526.114236612161
2024,January,9,38,6820,6302.287914963504,517.712085036496
2024,January,9,39,6824,6291.323829765261,532.676170234739
2024,January,9,40,6821,6297.149341233744,523.8506587662561
2024,January,9,41,6821,6306.219562940588,514.7804370594121
2024,January,9,42,6779,6239.224049551335,539.775950448665
2024,January,9,43,6676,6143.019149887938,532.980850112062
2024,January,9,44,6527,6004.329111122534,522.6708888774659
2024,January,9,45,6363,5870.891026234855,492.108973765145
2024,January,9,46,6216,5727.349746396651,488.650253603349
2024,January,9,47,6071,5635.694101371981,435.30589862801895
2024,January,9,48,5873,5478.727448949366,394.272551050634
2024,January,10,1,5669,5313.181274298404,355.818725701596
2024,January,10,2,5587,5229.857581704561,357.142418295439
2024,January,10,3,5572,5230.309796839693,341.690203160307
2024,January,10,4,5492,5156.155237967382,335.844762032618
2024,January,10,5,5435,5105.569689292195,329.430310707805
2024,January,10,6,5387,5038.961544907855,348.038455092145
2024,January,10,7,5363,5042.648630143574,320.351369856426
2024,January,10,8,5347,4989.735749646722,357.264250353278
2024,January,10,9,5362,5011.285175737618,350.714824262382
2024,January,10,10,5401,5075.145634375484,325.854365624516
2024,January,10,11,5500,5157.026885646838,342.97311435316203
2024,January,10,12,5680,5345.276149032494,334.723850967506
2024,January,10,13,5881,5470.853796042121,410.146203957879
2024,January,10,14,6032,5647.673907343926,384.32609265607397
